Nom,age,nationnalité,Position,res Position,valeur marchande,venant de 1,venant de 2,montant de la transaction,team_acheteur,team vendeur
Randal Kolo MuaniR. Kolo Muani,24,France,Avant-centre,AC,"80,00 mio. €",Eintracht Francfort,Allemagne,"95,00 mio. €",Paris Saint-Germain,
Manuel UgarteM. Ugarte,22,Uruguay,Milieu défensif,MDC,"55,00 mio. €",Sporting CP,Portugal,"60,00 mio. €",Paris Saint-Germain,
Ousmane DembéléO. Dembélé,26,France,Ailier droit,AiD,"60,00 mio. €",FC Barcelone,Espagne,"50,00 mio. €",Paris Saint-Germain,
Bradley BarcolaB. Barcola,20,France,Ailier droit,AiD,"35,00 mio. €",Olympique Lyonnais,France,"45,00 mio. €",Paris Saint-Germain,
Lucas HernándezL. Hernández,27,France,Défenseur central,DC,"45,00 mio. €",Bayern Munich,Allemagne,"45,00 mio. €",Paris Saint-Germain,
Hugo EkitikéH. Ekitiké,21,France,Avant-centre,AC,"15,00 mio. €",Stade de Reims,France,"28,50 mio. €",Paris Saint-Germain,
Kang-in LeeK. Lee,22,Corée du Sud,Milieu offensif,MO,"22,00 mio. €",RCD Mallorca,Espagne,"22,00 mio. €",Paris Saint-Germain,
Xavi SimonsX. Simons,20,Pays-Bas,Ailier droit,AiD,"70,00 mio. €",PSV Eindhoven,Pays-Bas,"4,00 mio. €",Paris Saint-Germain,
Arnau TenasA. Tenas,22,Espagne,Gardien de but,GdB,"5,00 mio. €",FC Barcelone Atlètic,Espagne,Tr. libre,Paris Saint-Germain,
Cher NdourC. Ndour,18,Italie,Milieu central,MC,"4,00 mio. €",SL Benfica B,Portugal,Tr. libre,Paris Saint-Germain,
Marco AsensioM. Asensio,27,Espagne,Ailier gauche,AiG,"25,00 mio. €",Real Madrid,Espagne,Tr. libre,Paris Saint-Germain,
Milan SkriniarM. Skriniar,28,Slovaquie,Défenseur central,DC,"50,00 mio. €",Inter Milan,Italie,Tr. libre,Paris Saint-Germain,
Gonçalo RamosG. Ramos,22,Portugal,Avant-centre,AC,"50,00 mio. €",SL Benfica,Portugal,Prêt,Paris Saint-Germain,
Noha LeminaN. Lemina,18,France,Milieu offensif,MO,500 K €,Paris Saint-Germain U19,France,-,Paris Saint-Germain,
Junior Dina EbimbeJ. Dina Ebimbe,22,France,Milieu central,MC,"10,00 mio. €",Eintracht Francfort,Allemagne,Fin du prêt30 juin 2023,Paris Saint-Germain,
Kenny NageraK. Nagera,21,France,Avant-centre,AC,200 K €,FC Lorient B,France,Fin du prêt30 juin 2023,Paris Saint-Germain,
Georginio WijnaldumG. Wijnaldum,32,Pays-Bas,Milieu central,MC,"6,00 mio. €",AS Roma,Italie,Fin du prêt30 juin 2023,Paris Saint-Germain,
Edouard MichutE. Michut,20,France,Milieu central,MC,"2,50 mio. €",AFC Sunderland,Angleterre,Fin du prêt30 juin 2023,Paris Saint-Germain,
Leandro ParedesL. Paredes,29,Argentine,Milieu défensif,MDC,"9,00 mio. €",Juventus Turin,Italie,Fin du prêt30 juin 2023,Paris Saint-Germain,
Anfane AhamadaA. Ahamada,21,Comores,Milieu défensif,MDC,100 K €,FC Martigues,France,Fin du prêt30 juin 2023,Paris Saint-Germain,
Abdou DialloA. Diallo,27,Sénégal,Défenseur central,DC,"10,00 mio. €",RasenBallsport Leipzig,Allemagne,Fin du prêt30 juin 2023,Paris Saint-Germain,
Layvin KurzawaL. Kurzawa,30,France,Arrière gauche,ArG,"3,00 mio. €",FC Fulham,Angleterre,Fin du prêt30 juin 2023,Paris Saint-Germain,
Colin DagbaC. Dagba,24,France,Arrière droit,ArD,"2,50 mio. €",RC Strasbourg Alsace,France,Fin du prêt30 juin 2023,Paris Saint-Germain,
Julian DraxlerJ. Draxler,29,Allemagne,Ailier gauche,AiG,"6,00 mio. €",SL Benfica,Portugal,Fin du prêt30 juin 2023,Paris Saint-Germain,
Djeidi GassamaD. Gassama,19,France,Ailier gauche,AiG,800 K €,KAS Eupen,Belgique,Fin du prêt30 juin 2023,Paris Saint-Germain,
Mauro IcardiM. Icardi,30,Argentine,Avant-centre,AC,"20,00 mio. €",Galatasaray,Turquie,Fin du prêt30 juin 2023,Paris Saint-Germain,
Mathyas RandriamamyM. Randriamamy,20,Madagascar,Gardien de but,GdB,-,Sporting Club Sétois,France,Fin du prêt30 juin 2023,Paris Saint-Germain,
Keylor NavasK. Navas,36,Costa Rica,Gardien de but,GdB,"3,00 mio. €",Nottingham Forest,Angleterre,Fin du prêt30 juin 2023,Paris Saint-Germain,
NeymarNeymar,31,Brésil,Ailier gauche,AiG,"50,00 mio. €",Al-Hilal SFC,Arabie Saoudite,"90,00 mio. €",,Paris Saint-Germain
Marco VerrattiM. Verratti,30,Italie,Milieu central,MC,"40,00 mio. €",Al-Arabi SC,Qatar,"45,00 mio. €",,Paris Saint-Germain
Abdou DialloA. Diallo,27,Sénégal,Défenseur central,DC,"10,00 mio. €",Al-Arabi SC,Qatar,"15,00 mio. €",,Paris Saint-Germain
El Chadaille BitshiabuE. Bitshiabu,18,France,Défenseur central,DC,"15,00 mio. €",RasenBallsport Leipzig,Allemagne,"15,00 mio. €",,Paris Saint-Germain
Mauro IcardiM. Icardi,30,Argentine,Avant-centre,AC,"20,00 mio. €",Galatasaray,Turquie,"10,00 mio. €",,Paris Saint-Germain
Julian DraxlerJ. Draxler,29,Allemagne,Ailier gauche,AiG,"6,00 mio. €",Al-Ahli SC,Qatar,"9,00 mio. €",,Paris Saint-Germain
Georginio WijnaldumG. Wijnaldum,32,Pays-Bas,Milieu central,MC,"6,00 mio. €",Al-Ettifaq FC,Arabie Saoudite,"8,00 mio. €",,Paris Saint-Germain
Junior Dina EbimbeJ. Dina Ebimbe,22,France,Milieu central,MC,"10,00 mio. €",Eintracht Francfort,Allemagne,"6,50 mio. €",,Paris Saint-Germain
Leandro ParedesL. Paredes,29,Argentine,Milieu défensif,MDC,"9,00 mio. €",AS Roma,Italie,"2,50 mio. €",,Paris Saint-Germain
Djeidi GassamaD. Gassama,19,France,Ailier gauche,AiG,800 K €,Sheffield Wednesday,Angleterre,"1,00 mio. €",,Paris Saint-Germain
Renato SanchesR. Sanches,25,Portugal,Milieu central,MC,"14,00 mio. €",AS Roma,Italie,"Montant du prêt:1,00 mio. €",,Paris Saint-Germain
Lionel MessiL. Messi,36,Argentine,Ailier droit,AiD,"35,00 mio. €",Inter Miami CF,États-Unis,Tr. libre,,Paris Saint-Germain
Kenny NageraK. Nagera,21,France,Avant-centre,AC,200 K €,FC Differdange 03,Luxembourg,Tr. libre,,Paris Saint-Germain
Mathyas RandriamamyM. Randriamamy,20,Madagascar,Gardien de but,GdB,-,Ermis Aradippou,Chypre,Tr. libre,,Paris Saint-Germain
Sergio RamosS. Ramos,37,Espagne,Défenseur central,DC,"4,00 mio. €",Sevilla FC,Espagne,Tr. libre,,Paris Saint-Germain
Timothée PembéléT. Pembélé,20,France,Arrière droit,ArD,"5,00 mio. €",AFC Sunderland,Angleterre,?,,Paris Saint-Germain
Noha LeminaN. Lemina,18,France,Milieu offensif,MO,500 K €,UC Sampdoria,Italie,Prêt,,Paris Saint-Germain
Colin DagbaC. Dagba,24,France,Arrière droit,ArD,"2,50 mio. €",AJ Auxerre,France,Prêt,,Paris Saint-Germain
Juan BernatJ. Bernat,30,Espagne,Arrière gauche,ArG,"10,00 mio. €",SL Benfica,Portugal,Prêt,,Paris Saint-Germain
Ismaël GharbiI. Gharbi,19,Espagne,Milieu offensif,MO,"5,00 mio. €",FC Stade-Lausanne-Ouchy,Suisse,Prêt,,Paris Saint-Germain
Xavi SimonsX. Simons,20,Pays-Bas,Ailier droit,AiD,"70,00 mio. €",RasenBallsport Leipzig,Allemagne,Prêt,,Paris Saint-Germain
Edouard MichutE. Michut,20,France,Milieu central,MC,"2,50 mio. €",Adana Demirspor,Turquie,Prêt,,Paris Saint-Germain
Moutanabi BodiangM. Bodiang,20,France,Arrière droit,ArD,100 K €,Sans club,   Sans club,-,,Paris Saint-Germain
Anfane AhamadaA. Ahamada,21,Comores,Milieu défensif,MDC,100 K €,Sans club,   Sans club,-,,Paris Saint-Germain
Lucas LavalléeL. Lavallée,20,France,Gardien de but,GdB,300 K €,USL Dunkerque,France,Prêt,,Paris Saint-Germain
Hugo EkitikéH. Ekitiké,21,France,Avant-centre,AC,"15,00 mio. €",Stade de Reims,France,Fin du prêt30 juin 2023,,Paris Saint-Germain
Elye WahiElye Wahi,20,France,Avant-centre,AC,"40,00 mio. €",Montpellier Hérault SC,France,"30,00 mio. €",RC Lens,
Andy DioufA. Diouf,20,France,Milieu central,MC,"13,00 mio. €",FC Bâle 1893,Suisse,"14,00 mio. €",RC Lens,
Angelo FulginiA. Fulgini,26,France,Milieu offensif,MO,"9,00 mio. €",1.FSV Mainz 05,Allemagne,"7,20 mio. €",RC Lens,
Óscar CortésÓ. Cortés,19,Colombie,Ailier droit,AiD,"4,20 mio. €",Millonarios FC,Colombie,"4,50 mio. €",RC Lens,
Morgan GuilavoguiM. Guilavogui,25,Guinée,Ailier droit,AiD,"4,00 mio. €",Paris FC,France,"4,00 mio. €",RC Lens,
Ruben AguilarR. Aguilar,30,France,Arrière droit,ArD,"6,00 mio. €",AS Monaco,France,"3,50 mio. €",RC Lens,
Neil El AynaouiN. El Aynaoui,21,Maroc,Milieu central,MC,700 K €,AS Nancy-Lorraine,France,600 K €,RC Lens,
Abdukodir KhusanovA. Khusanov,19,Ouzbékistan,Défenseur central,DC,800 K €,Energetik-BGU Minsk,Biélorussie,100 K €,RC Lens,
Stijn SpieringsS. Spierings,27,Pays-Bas,Milieu défensif,MDC,"5,00 mio. €",Toulouse FC,France,Tr. libre,RC Lens,
Faitout MaouassaF. Maouassa,25,France,Arrière gauche,ArG,"6,00 mio. €",Club Brugge KV,Belgique,Prêt,RC Lens,
Nampalys MendyN. Mendy,31,Sénégal,Milieu défensif,MDC,"2,50 mio. €",Sans club,   Sans club,-,RC Lens,
Ibrahima BaldéI. Baldé,20,France,Avant-centre,AC,400 K €,FC Annecy,France,Fin du prêt30 juin 2023,RC Lens,
Tom DucrocqT. Ducrocq,23,France,Milieu défensif,MDC,"1,20 mio. €",SC Bastia,France,Fin du prêt30 juin 2023,RC Lens,
Loïs OpendaL. Openda,23,Belgique,Avant-centre,AC,"45,00 mio. €",RasenBallsport Leipzig,Allemagne,"38,50 mio. €",,RC Lens
Seko FofanaS. Fofana,28,Côte d'Ivoire,Milieu central,MC,"24,00 mio. €",Al-Nassr FC,Arabie Saoudite,"25,00 mio. €",,RC Lens
Jean OnanaJ. Onana,23,Cameroun,Milieu défensif,MDC,"4,80 mio. €",Besiktas JK,Turquie,"4,04 mio. €",,RC Lens
Adrien LouveauA. Louveau,23,France,Défenseur central,DC,250 K €,LKS Lodz,Pologne,Tr. libre,,RC Lens
Ismaël BouraI. Boura,22,France,Arrière gauche,ArG,"1,00 mio. €",ESTAC Troyes,France,Tr. libre,,RC Lens
Steven FortesS. Fortes,31,Cap-Vert,Défenseur central,DC,400 K €,Quevilly - Rouen Métropole,France,Tr. libre,,RC Lens
Rémy Labeau LascaryR. Labeau Lascary,20,Guadeloupe,Avant-centre,AC,700 K €,Stade Lavallois,France,Prêt,,RC Lens
Tom DucrocqT. Ducrocq,23,France,Milieu défensif,MDC,"1,20 mio. €",SC Bastia,France,?,,RC Lens
Stijn SpieringsS. Spierings,27,Pays-Bas,Milieu défensif,MDC,"5,00 mio. €",Toulouse FC,France,Prêt,,RC Lens
Lukasz PorebaL. Poreba,23,Pologne,Milieu défensif,MDC,"2,00 mio. €",Hamburger SV,Allemagne,Prêt,,RC Lens
Julien Le CardinalJ. Le Cardinal,26,France,Arrière droit,ArD,"2,00 mio. €",Stade Brestois 29,France,Prêt,,RC Lens
Mamadou CamaraM. Camara,20,Sénégal,Milieu central,MC,250 K €,AS Nancy-Lorraine,France,Prêt,,RC Lens
Adam BuksaA. Buksa,27,Pologne,Avant-centre,AC,"5,00 mio. €",Antalyaspor,Turquie,Prêt,,RC Lens
Angelo FulginiA. Fulgini,26,France,Milieu offensif,MO,"9,00 mio. €",1.FSV Mainz 05,Allemagne,Fin du prêt30 juin 2023,,RC Lens
Alexis Claude-MauriceA. Claude-Maurice,25,France,Milieu offensif,MO,"4,50 mio. €",OGC Nice,France,Fin du prêt30 juin 2023,,RC Lens
Iliman NdiayeI. Ndiaye,23,Sénégal,Avant-centre,AC,"18,00 mio. €",Sheffield United,Angleterre,"17,00 mio. €",Olympique de Marseille,
Ismaïla SarrI. Sarr,25,Sénégal,Ailier droit,AiD,"20,00 mio. €",FC Watford,Angleterre,"13,00 mio. €",Olympique de Marseille,
Renan LodiR. Lodi,25,Brésil,Arrière gauche,ArG,"20,00 mio. €",Atlético de Madrid,Espagne,"13,00 mio. €",Olympique de Marseille,
Ruslan MalinovskyiR. Malinovskyi,30,Ukraine,Milieu offensif,MO,"10,00 mio. €",Atalanta BC,Italie,"10,00 mio. €",Olympique de Marseille,
Geoffrey KondogbiaG. Kondogbia,30,République Centrafricaine,Milieu défensif,MDC,"14,00 mio. €",Atlético de Madrid,Espagne,"8,00 mio. €",Olympique de Marseille,
Amine HaritA. Harit,26,Maroc,Milieu offensif,MO,"12,00 mio. €",FC Schalke 04,Allemagne,"5,00 mio. €",Olympique de Marseille,
Amir MurilloA. Murillo,27,Panama,Arrière droit,ArD,"3,00 mio. €",RSC Anderlecht,Belgique,"2,50 mio. €",Olympique de Marseille,
Joaquín CorreaJ. Correa,29,Argentine,Deuxième attaquant,2S,"12,00 mio. €",Inter Milan,Italie,"Montant du prêt:2,00 mio. €",Olympique de Marseille,
Rubén BlancoR. Blanco,28,Espagne,Gardien de but,GdB,"3,00 mio. €",Celta Vigo,Espagne,"1,50 mio. €",Olympique de Marseille,
Pierre-Emerick AubameyangP. Aubameyang,34,Gabon,Avant-centre,AC,"4,00 mio. €",Chelsea FC,Angleterre,Tr. libre,Olympique de Marseille,
Bamo MeïtéB. Meïté,21,Côte d'Ivoire,Défenseur central,DC,"4,00 mio. €",FC Lorient,France,Prêt,Olympique de Marseille,
François MugheF. Mughe,19,Cameroun,Ailier droit,AiD,"1,00 mio. €",Olympique de Marseille B,France,-,Olympique de Marseille,
Emran SogloE. Soglo,17,Angleterre,Ailier droit,AiD,"1,00 mio. €",Olympique de Marseille B,France,-,Olympique de Marseille,
Nemanja RadonjićN. Radonjić,27,Serbie,Ailier gauche,AiG,"4,00 mio. €",Torino FC,Italie,Fin du prêt30 juin 2023,Olympique de Marseille,
Luis HenriqueLuis Henrique,22,Brésil,Ailier gauche,AiG,"6,00 mio. €",Botafogo de Futebol e Regatas,Brésil,Fin du prêt31 déc. 2023,Olympique de Marseille,
Pol LirolaP. Lirola,25,Espagne,Arrière droit,ArD,"2,00 mio. €",Elche CF,Espagne,Fin du prêt30 juin 2023,Olympique de Marseille,
Konrad de la FuenteK. de la Fuente,21,États-Unis,Ailier gauche,AiG,"1,50 mio. €",Olympiakós Le Pirée,Grèce,Fin du prêt30 juin 2023,Olympique de Marseille,
Kevin StrootmanK. Strootman,33,Pays-Bas,Milieu central,MC,"1,30 mio. €",Genoa CFC,Italie,Fin du prêt30 juin 2023,Olympique de Marseille,
Pape GueyeP. Gueye,24,Sénégal,Milieu défensif,MDC,"10,00 mio. €",Sevilla FC,Espagne,Fin du prêt30 juin 2023,Olympique de Marseille,
Arkadiusz MilikA. Milik,29,Pologne,Avant-centre,AC,"8,00 mio. €",Juventus Turin,Italie,Fin du prêt30 juin 2023,Olympique de Marseille,
Jordan AmaviJ. Amavi,29,France,Arrière gauche,ArG,"2,00 mio. €",FC Getafe,Espagne,Fin du prêt30 juin 2023,Olympique de Marseille,
Luis SuárezL. Suárez,25,Colombie,Avant-centre,AC,"8,00 mio. €",UD Almería,Espagne,Fin du prêt30 juin 2023,Olympique de Marseille,
Isaak TouréI. Touré,20,France,Défenseur central,DC,"8,00 mio. €",AJ Auxerre,France,Fin du prêt30 juin 2023,Olympique de Marseille,
Salim Ben SeghirS. Ben Seghir,20,France,Ailier gauche,AiG,500 K €,Valenciennes FC,France,Fin du prêt30 juin 2023,Olympique de Marseille,
Cengiz ÜnderC. Ünder,26,Turquie,Ailier droit,AiD,"20,00 mio. €",Fenerbahce,Turquie,"15,00 mio. €",,Olympique de Marseille
Isaak TouréI. Touré,20,France,Défenseur central,DC,"8,00 mio. €",FC Lorient,France,"8,00 mio. €",,Olympique de Marseille
Luis SuárezL. Suárez,25,Colombie,Avant-centre,AC,"8,00 mio. €",UD Almería,Espagne,"8,00 mio. €",,Olympique de Marseille
Arkadiusz MilikA. Milik,29,Pologne,Avant-centre,AC,"8,00 mio. €",Juventus Turin,Italie,"6,30 mio. €",,Olympique de Marseille
Nemanja RadonjićN. Radonjić,27,Serbie,Ailier gauche,AiG,"4,00 mio. €",Torino FC,Italie,"1,70 mio. €",,Olympique de Marseille
Bartuğ ElmazB. Elmaz,20,Turquie,Milieu défensif,MDC,800 K €,Fenerbahce,Turquie,"1,40 mio. €",,Olympique de Marseille
Mattéo GuendouziM. Guendouzi,24,France,Milieu central,MC,"20,00 mio. €",Lazio Rome,Italie,"Montant du prêt:1,00 mio. €",,Olympique de Marseille
Dimitri PayetD. Payet,36,France,Milieu offensif,MO,"1,80 mio. €",Clube de Regatas Vasco da Gama,Brésil,Tr. libre,,Olympique de Marseille
Sead KolasinacS. Kolasinac,30,Bosnie-Herzégovine,Défenseur central,DC,"8,00 mio. €",Atalanta BC,Italie,Tr. libre,,Olympique de Marseille
Kevin StrootmanK. Strootman,33,Pays-Bas,Milieu central,MC,"1,30 mio. €",Genoa CFC,Italie,Tr. libre,,Olympique de Marseille
Alexis SánchezA. Sánchez,34,Chili,Avant-centre,AC,"4,00 mio. €",Inter Milan,Italie,Tr. libre,,Olympique de Marseille
Pol LirolaP. Lirola,26,Espagne,Arrière droit,ArD,"2,00 mio. €",Frosinone Calcio,Italie,Prêt,,Olympique de Marseille
Jordan AmaviJ. Amavi,29,France,Arrière gauche,ArG,"2,00 mio. €",Stade Brestois 29,France,Prêt,,Olympique de Marseille
Konrad de la FuenteK. de la Fuente,22,États-Unis,Ailier gauche,AiG,"1,50 mio. €",SD Eibar,Espagne,Prêt,,Olympique de Marseille
Ruslan MalinovskyiR. Malinovskyi,30,Ukraine,Milieu offensif,MO,"10,00 mio. €",Genoa CFC,Italie,Prêt,,Olympique de Marseille
Salim Ben SeghirS. Ben Seghir,20,France,Ailier gauche,AiG,500 K €,Neuchâtel Xamax FCS,Suisse,Prêt,,Olympique de Marseille
Eric BaillyE. Bailly,29,Côte d'Ivoire,Défenseur central,DC,"4,00 mio. €",Manchester United,Angleterre,Fin du prêt30 juin 2023,,Olympique de Marseille
Rubén BlancoR. Blanco,27,Espagne,Gardien de but,GdB,"3,00 mio. €",Celta Vigo,Espagne,Fin du prêt30 juin 2023,,Olympique de Marseille
Nuno TavaresN. Tavares,23,Portugal,Arrière gauche,ArG,"18,00 mio. €",Arsenal FC,Angleterre,Fin du prêt30 juin 2023,,Olympique de Marseille
Issa KaboréI. Kaboré,22,Burkina Faso,Arrière droit,ArD,"7,00 mio. €",Manchester City,Angleterre,Fin du prêt30 juin 2023,,Olympique de Marseille
Amine HaritA. Harit,26,Maroc,Milieu offensif,MO,"12,00 mio. €",FC Schalke 04,Allemagne,Fin du prêt30 juin 2023,,Olympique de Marseille
Ruslan MalinovskyiR. Malinovskyi,30,Ukraine,Milieu offensif,MO,"10,00 mio. €",Atalanta BC,Italie,Fin du prêt30 juin 2023,,Olympique de Marseille
Folarin BalogunF. Balogun,22,États-Unis,Avant-centre,AC,"30,00 mio. €",Arsenal FC,Angleterre,"30,00 mio. €",AS Monaco,
Denis ZakariaD. Zakaria,26,Suisse,Milieu défensif,MDC,"20,00 mio. €",Juventus Turin,Italie,"20,00 mio. €",AS Monaco,
Mohammed SalisuM. Salisu,24,Ghana,Défenseur central,DC,"18,00 mio. €",FC Southampton,Angleterre,"15,00 mio. €",AS Monaco,
Wilfried SingoW. Singo,22,Côte d'Ivoire,Défenseur central,DC,"15,00 mio. €",Torino FC,Italie,"10,00 mio. €",AS Monaco,
Philipp KöhnP. Köhn,25,Suisse,Gardien de but,GdB,"7,00 mio. €",Red Bull Salzbourg,Autriche,"8,00 mio. €",AS Monaco,
Kassoum OuattaraK. Ouattara,19,France,Arrière gauche,ArG,600 K €,Amiens SC,France,"2,00 mio. €",AS Monaco,
Jean MarcelinJ. Marcelin,23,France,Défenseur central,DC,"1,50 mio. €",Cercle Bruges,Belgique,Fin du prêt30 juin 2023,AS Monaco,
Edan DiopEdan Diop,18,France,Milieu central,MC,"2,00 mio. €",AS Monaco U21,Monaco,-,AS Monaco,
Yllan OkouY. Okou,20,France,Défenseur central,DC,300 K €,AS Monaco U21,Monaco,-,AS Monaco,
Yann LienardY. Lienard,20,France,Gardien de but,GdB,200 K €,AS Monaco U21,Monaco,-,AS Monaco,
Radoslaw MajeckiR. Majecki,23,Pologne,Gardien de but,GdB,"2,00 mio. €",Cercle Bruges,Belgique,Fin du prêt30 juin 2023,AS Monaco,
PeléPelé,31,Guinée-Bissau,Milieu défensif,MDC,400 K €,FC Famalicão,Portugal,Fin du prêt30 juin 2023,AS Monaco,
Anthony MusabaA. Musaba,22,Pays-Bas,Ailier droit,AiD,800 K €,NEC Nijmegen,Pays-Bas,Fin du prêt30 juin 2023,AS Monaco,
Félix LemaréchalF. Lemaréchal,19,France,Milieu central,MC,"1,00 mio. €",Stade Brestois 29,France,Fin du prêt30 juin 2023,AS Monaco,
Arthur ZagréA. Zagré,21,France,Arrière gauche,ArG,850 K €,Excelsior Rotterdam,Pays-Bas,Fin du prêt30 juin 2023,AS Monaco,
Axel DisasiA. Disasi,25,France,Défenseur central,DC,"40,00 mio. €",Chelsea FC,Angleterre,"45,00 mio. €",,AS Monaco
Jean LucasJean Lucas,25,Brésil,Milieu central,MC,"5,00 mio. €",Santos FC,Brésil,"6,00 mio. €",,AS Monaco
Kevin VollandK. Volland,31,Allemagne,Avant-centre,AC,"6,00 mio. €",1.FC Union Berlin,Allemagne,"4,00 mio. €",,AS Monaco
Ruben AguilarR. Aguilar,30,France,Arrière droit,ArD,"6,00 mio. €",RC Lens,France,"3,50 mio. €",,AS Monaco
Arthur ZagréA. Zagré,21,France,Arrière gauche,ArG,850 K €,Excelsior Rotterdam,Pays-Bas,Tr. libre,,AS Monaco
Jean MarcelinJ. Marcelin,23,France,Défenseur central,DC,"1,50 mio. €",FC Girondins de Bordeaux,France,Tr. libre,,AS Monaco
Anthony MusabaA. Musaba,22,Pays-Bas,Ailier droit,AiD,800 K €,Sheffield Wednesday,Angleterre,Tr. libre,,AS Monaco
Félix LemaréchalF. Lemaréchal,20,France,Milieu central,MC,"1,00 mio. €",Cercle Bruges,Belgique,Prêt,,AS Monaco
Yllan OkouY. Okou,20,France,Défenseur central,DC,300 K €,SC Bastia,France,?,,AS Monaco
PeléPelé,31,Guinée-Bissau,Milieu défensif,MDC,400 K €,Sans club,   Sans club,-,,AS Monaco
Alexander NübelA. Nübel,26,Allemagne,Gardien de but,GdB,"8,00 mio. €",Bayern Munich,Allemagne,Fin du prêt30 juin 2023,,AS Monaco
Thomas DidillonT. Didillon,27,France,Gardien de but,GdB,700 K €,Cercle Bruges,Belgique,Fin du prêt30 juin 2023,,AS Monaco
Malang SarrM. Sarr,24,France,Défenseur central,DC,"6,00 mio. €",Chelsea FC,Angleterre,Fin du prêt30 juin 2023,,AS Monaco
Enzo Le FéeE. Le Fée,23,France,Milieu offensif,MO,"20,00 mio. €",FC Lorient,France,"20,00 mio. €",Stade Rennais FC,
Ludovic BlasL. Blas,25,France,Milieu offensif,MO,"22,00 mio. €",FC Nantes,France,"15,00 mio. €",Stade Rennais FC,
Fabian RiederF. Rieder,21,Suisse,Milieu offensif,MO,"15,00 mio. €",BSC Young Boys,Suisse,"15,00 mio. €",Stade Rennais FC,
Bertuğ YıldırımB. Yıldırım,21,Turquie,Avant-centre,AC,"4,00 mio. €",Hatayspor,Turquie,"5,40 mio. €",Stade Rennais FC,
Nemanja MaticN. Matic,35,Serbie,Milieu défensif,MDC,"4,00 mio. €",AS Roma,Italie,"2,50 mio. €",Stade Rennais FC,
Geoffrey LembetG. Lembet,34,République Centrafricaine,Gardien de but,GdB,150 K €,CS Sedan-Ardennes,France,Tr. libre,Stade Rennais FC,
Gauthier GallonG. Gallon,30,France,Gardien de but,GdB,"2,00 mio. €",ESTAC Troyes,France,?,Stade Rennais FC,
Alan Do MarcolinoA. Do Marcolino,21,Gabon,Avant-centre,AC,200 K €,Stade Rennais FC B,France,-,Stade Rennais FC,
Andy DioufA. Diouf,20,France,Milieu central,MC,"13,00 mio. €",FC Bâle 1893,Suisse,Fin du prêt30 juin 2023,Stade Rennais FC,
Junior KadileJ. Kadile,20,France,Ailier droit,AiD,700 K €,FC Famalicão,Portugal,Fin du prêt30 juin 2023,Stade Rennais FC,
Loum TchaounaL. Tchaouna,19,France,Ailier droit,AiD,"2,40 mio. €",Dijon FCO,France,Fin du prêt30 juin 2023,Stade Rennais FC,
Serhou GuirassyS. Guirassy,27,Guinée,Avant-centre,AC,"40,00 mio. €",VfB Stuttgart,Allemagne,Fin du prêt30 juin 2023,Stade Rennais FC,
Loïc BadéL. Badé,23,France,Défenseur central,DC,"12,00 mio. €",Sevilla FC,Espagne,Fin du prêt30 juin 2023,Stade Rennais FC,
Matthis AblineM. Abline,20,France,Avant-centre,AC,"4,50 mio. €",AJ Auxerre,France,Fin du prêt30 juin 2023,Stade Rennais FC,
Alfred GomisA. Gomis,29,Sénégal,Gardien de but,GdB,"2,00 mio. €",Como 1907,Italie,Fin du prêt30 juin 2023,Stade Rennais FC,
Noah FrançoiseN. Françoise,19,France,Milieu défensif,MDC,350 K €,US Avranches,France,Fin du prêt30 juin 2023,Stade Rennais FC,
Jérémy DokuJ. Doku,21,Belgique,Ailier gauche,AiG,"60,00 mio. €",Manchester City,Angleterre,"60,00 mio. €",,Stade Rennais FC
Lesley UgochukwuL. Ugochukwu,19,France,Milieu défensif,MDC,"25,00 mio. €",Chelsea FC,Angleterre,"27,00 mio. €",,Stade Rennais FC
Lovro MajerL. Majer,25,Croatie,Milieu central,MC,"27,00 mio. €",VfL Wolfsburg,Allemagne,"25,00 mio. €",,Stade Rennais FC
Loïc BadéL. Badé,23,France,Défenseur central,DC,"12,00 mio. €",Sevilla FC,Espagne,"12,00 mio. €",,Stade Rennais FC
Serhou GuirassyS. Guirassy,27,Guinée,Avant-centre,AC,"40,00 mio. €",VfB Stuttgart,Allemagne,"9,00 mio. €",,Stade Rennais FC
Andy DioufA. Diouf,20,France,Milieu central,MC,"13,00 mio. €",FC Bâle 1893,Suisse,"5,50 mio. €",,Stade Rennais FC
Loum TchaounaL. Tchaouna,19,France,Ailier droit,AiD,"2,40 mio. €",US Salernitana 1919,Italie,"3,00 mio. €",,Stade Rennais FC
Birger MelingB. Meling,28,Norvège,Arrière gauche,ArG,"5,00 mio. €",FC Copenhague,Danemark,"2,00 mio. €",,Stade Rennais FC
Flavien TaitF. Tait,30,France,Milieu central,MC,"4,10 mio. €",Samsunspor,Turquie,Tr. libre,,Stade Rennais FC
Romain SalinR. Salin,38,France,Gardien de but,GdB,-,CS Marítimo,Portugal,Tr. libre,,Stade Rennais FC
Hamari TraoréH. Traoré,31,Mali,Arrière droit,ArD,"10,00 mio. €",Real Sociedad,Espagne,Tr. libre,,Stade Rennais FC
Noah FrançoiseN. Françoise,20,France,Milieu défensif,MDC,350 K €,CS Marítimo,Portugal,?,,Stade Rennais FC
Junior KadileJ. Kadile,20,France,Ailier droit,AiD,700 K €,Stade Lavallois,France,?,,Stade Rennais FC
